num_ip,reg_time,country,registrar,tld,dot_num,avg_host,max_host,avg_path,max_path,class
2,1109606400,CN,HICHINA ZHICHENG TECHNOLOGY LTD.,net,1,5.5,6,4.333333333333333,8,bad
2,1427990400,US,PSI-USA INC. DBA DOMAIN ROBOT,net,1,5.5,6,4.333333333333333,8,bad
2,1427990400,US,PSI-USA INC. DBA DOMAIN ROBOT,net,1,4.0,5,3.5,4,bad
3,852739200,BR,1API GMBH,ru,1,5.0,5,4.0,5,bad
0,,,,cz,1,5.0,7,4.666666666666667,8,bad
0,,,,de,0,4.0,4,7.5,12,bad
0,,,,com,0,21.0,21,6.285714285714286,12,bad
2,1079193600,US,GODADDY.COM LLC,com,0,11.0,11,6.285714285714286,12,bad
2,1408464000,US,,com,0,6.0,7,6.285714285714286,12,bad
2,1047052800,,GODADDY.COM INC.,com,2,5.333333333333333,8,5.0,7,bad
4,1230393600,CN,MARKMONITOR INC.,net,0,5.0,5,18.5,32,bad
2,1150646400,GB,ASCIO TECHNOLOGIES INC,gov,1,14.5,20,5.333333333333333,7,bad
0,,,,com,0,5.0,5,0.0,0,bad
2,1084204800,KR,,kr,1,6.5,11,3.25,4,bad
0,,,,com,0,20.0,20,0.0,0,bad
2,1208620800,,GANDI SAS,lt,1,3.25,6,0.0,0,bad
0,,,,bg,1,6.5,8,0.0,0,bad
0,,,,com,0,21.0,21,0.0,0,bad
2,1128528000,,GODADDY.COM INC.,jp,2,5.0,7,0.0,0,bad
0,,,,kr,1,6.5,11,0.0,0,bad
0,,,,com,0,15.0,15,0.0,0,bad
2,1029600000,GB,GODADDY.COM LLC,com,0,13.0,13,0.0,0,bad
2,961084800,GB,GODADDY.COM LLC,com,0,12.0,12,0.0,0,bad
2,969811200,GB,GODADDY.COM LLC,com,0,8.0,8,0.0,0,bad
2,1379174400,,,com,0,12.0,12,0.0,0,bad
2,1018281600,GB,GODADDY.COM LLC,com,0,7.0,7,0.0,0,bad
2,963676800,UK,GODADDY.COM LLC,com,0,12.0,12,0.0,0,bad
2,1018281600,GB,GODADDY.COM LLC,com,0,17.0,17,0.0,0,bad
