num,url:num_ip,reg_time,country,registrar
23452,monkeybusy.info:2,2016-09-23,CY,DANESCO TRADING LTD.
23454,smarterads.info:2,2016-09-20,CY,DANESCO TRADING LTD.
23456,adbreak.info:0,,,
23453,madiabonus.info:2,2016-09-23,CY,DANESCO TRADING LTD.
23459,funnycpms.info:2,2016-10-13,CY,DANESCO TRADING LTD.
23458,frtyff.info:2,2016-09-05,CY,DANESCO TRADING LTD.
23457,bonusmedia.info:2,2016-10-23,CY,DANESCO TRADING LTD.
23461,clickerbonus.info:3,2016-09-19,GB,EVOPLUS LTD.
23460,frogbigfrog.info:1,2016-10-08,GB,EVOPLUS LTD.
23462,standupmedia.info:2,2010-09-22,US,GODADDY.COM INC. (R171-LRMS)
23463,bulbcpm.info:1,2016-10-14,GB,EVOPLUS LTD.
23468,porkymedia.info:2,2016-09-27,CY,DANESCO TRADING LTD.
23466,monstercpm.info:1,2016-10-16,GB,EVOPLUS LTD.
23465,okandok.info:1,2016-10-17,GB,EVOPLUS LTD.
23467,frtyeht.info:2,2016-09-05,CY,DANESCO TRADING LTD.
23464,hookupfind.info:2,2016-08-30,CY,DANESCO TRADING LTD.
23469,findsilver.info:1,2016-09-29,GB,DANESCO TRADING LTD.
23470,mediaqboost.info:3,2016-10-01,GB,EVOPLUS LTD.
23472,frontrows.info:0,,,
23473,frtyten.info:2,2016-09-05,CY,DANESCO TRADING LTD.
23471,adspaces.info:1,2016-09-09,GB,EVOPLUS LTD.
