tld,dot_num,avg_host,max_host,avg_path,max_path,class
ru,1,7.0,11,4.25,7,good
com,0,8.0,8,7.0,7,bad
gov.uk,1,5.5,8,7.666666666666667,12,good
org,1,4.5,6,6.3,11,good
net,0,8.0,8,4.5,6,bad
org,1,6.0,9,26.666666666666668,43,good
com,1,6.4,10,2.8333333333333335,7,bad
org.uk,1,4.666666666666667,6,0.0,0,good
gov.au,1,3.0,3,7.285714285714286,16,good
com,0,10.0,10,5.75,13,bad
pw,1,7.333333333333333,8,0.0,0,bad
com,1,9.0,13,6.0,6,good
ru,1,6.5,9,2.0,4,good
com,1,6.5,10,4.2,7,good
xyz,0,10.0,10,0.0,0,bad
org,0,24.0,24,5.5,9,good
org,1,5.5,9,29.333333333333332,60,good
uk,1,9.5,17,9.166666666666666,32,bad
org,0,10.0,10,6.5,8,good
ch,1,3.0,3,3.75,6,good
org,1,4.0,5,6.857142857142857,16,good
by,1,4.0,5,4.333333333333333,6,good
com,1,5.0,7,4.0,8,good
uk,2,7.666666666666667,18,4.555555555555555,9,good
com,1,11.0,14,5.352941176470588,12,good
org,1,4.0,5,3.75,7,good
org,1,5.333333333333333,7,5.5,7,good
com,0,10.0,10,0.0,0,good
org,1,10.0,17,8.142857142857142,21,good
se,0,6.0,6,8.0,8,bad
eu,1,4.0,6,3.875,11,good
org,1,6.0,9,5.5,7,good
com,2,5.333333333333333,7,0.0,0,good
com,0,18.0,18,5.6,8,bad
com,0,8.0,8,8.444444444444445,32,bad
com,1,8.5,14,4.0,4,good
org,1,4.25,9,6.666666666666667,9,good
org,1,16.5,19,7.5,13,good
su,3,6.25,8,4.0,5,bad
com,1,11.0,13,3.466666666666667,6,good
org,0,5.0,5,4.666666666666667,8,good
us,3,6.0,10,3.75,5,good
com,1,6.0,9,5.333333333333333,7,good
org.ua,1,6.0,8,3.75,6,bad
org,1,6.0,10,33.5,63,good
gov,1,3.5,4,8.0,8,good
com,0,7.0,7,5.75,7,bad
info,1,11.0,12,8.0,27,bad
net,2,5.75,8,4.0,6,bad
com,0,5.0,5,6.857142857142857,11,bad
net,1,3.6666666666666665,4,4.25,7,bad
com,0,10.0,10,2.0,4,bad
com.tr,0,11.0,11,7.0,7,bad
com,1,6.5,7,0.0,0,good
com,1,10.5,17,0.0,0,bad
cn,0,4.0,4,5.0,5,bad
com,1,5.5,8,3.8,6,good
cn,0,8.0,8,6.0,6,bad
edu,2,7.666666666666667,12,18.666666666666668,50,good
name,1,8.0,12,3.5714285714285716,6,bad
wang,0,12.0,12,7.0,7,bad
ly,0,3.0,3,7.0,7,bad
it,1,7.5,12,3.5,7,bad
uk,2,4.333333333333333,7,3.5,6,good
com,0,7.0,7,9.454545454545455,20,bad
com,1,7.5,12,6.25,10,good
com,1,4.666666666666667,7,5.444444444444445,12,good
net,1,7.0,8,6.7,17,bad
net,1,4.5,5,0.5,1,good
ru,1,7.0,11,53.9,462,good
org,0,8.0,8,3.6,6,bad
edu,1,5.0,6,5.5,6,good
za,1,5.5,9,4.0,7,bad
com,1,5.75,7,0.0,0,bad
eu,1,4.0,6,4.6,7,good
com.br,1,4.0,5,6.0,8,good
com,0,8.0,8,3.0,6,bad
com,1,7.0,11,5.733333333333333,9,good
edu,2,5.0,7,3.6666666666666665,5,good
org.uk,1,8.0,13,5.333333333333333,12,good
com,0,19.0,19,4.75,5,bad
ru,1,5.0,5,2.3333333333333335,4,good
net,1,4.0,5,4.0,5,good
nl,0,20.0,20,7.0,7,bad
com,1,6.0,8,10.0,10,bad
com,0,15.0,15,10.0,32,bad
org,1,5.5,9,9.333333333333334,12,good
uk,1,5.5,9,4.333333333333333,8,bad
com.au,0,10.0,10,6.0,9,bad
pl,1,5.5,8,3.8333333333333335,7,bad
com,0,18.0,18,4.5,8,bad
com,1,6.0,9,3.5,7,good
com,1,5.0,7,15.5,24,good
ru,0,8.0,8,6.0,6,bad
org,1,8.5,14,5.6,10,good
org,1,6.0,9,3.0,5,good
com,0,13.0,13,8.428571428571429,32,bad
com,0,14.0,14,6.2,12,bad
org,0,17.0,17,6.333333333333333,11,good
com,0,13.0,13,15.666666666666666,43,bad
com,1,4.0,5,3.0,4,good
com,0,17.0,17,4.25,6,bad
com,0,18.0,18,8.0,8,bad
org,1,5.5,9,4.0,4,good
net,1,4.0,5,9.0,14,good
org,1,5.5,9,3.0,5,good
com,1,6.0,9,4.857142857142857,8,good
com,0,12.0,12,8.5,32,bad
ru,1,12.5,15,5.0,7,bad
com.br,0,10.0,10,1.5,3,bad
com,0,18.0,18,4.0,6,bad
com,1,6.5,7,9.333333333333334,22,good
gov.pt,1,3.0,3,4.4,12,good
com,1,5.0,6,7.0,7,bad
org,1,6.0,9,4.5,5,good
biz,0,16.0,16,5.0,7,bad
gov.tn,1,5.0,7,6.0,7,good
ie,1,3.0,3,6.666666666666667,12,good
ca,0,19.0,19,6.0,8,good
com.br,0,8.0,8,8.2,16,bad
com,1,12.0,21,5.0,7,good
com,0,15.0,15,4.0,5,bad
net,1,12.5,16,4.5,7,bad
com,0,14.0,14,11.090909090909092,39,bad
com,0,20.0,20,4.666666666666667,7,bad
tk,0,4.0,5,1.0,2,bad
ru,0,3.0,3,5.666666666666667,7,good
com,1,6.0,9,5.5,7,good
com,0,10.0,10,7.0,7,bad
com,1,13.5,21,6.0,11,bad
gov,3,3.25,4,6.333333333333333,8,good
com,0,9.0,9,6.666666666666667,9,good
ch,1,8.5,14,0.0,0,good
ca,2,3.0,4,4.333333333333333,6,good
com,0,18.0,18,3.5,8,bad
com,1,9.0,9,0.0,0,bad
gov,3,4.25,9,4.375,8,good
pl,1,3.5,4,8.0,8,bad
com,1,10.0,14,8.0,11,good
gov,2,6.333333333333333,12,2.0,4,good
com,1,7.5,12,7.0,10,good
id,1,6.0,9,10.5,32,bad
nu,0,6.0,6,8.333333333333334,32,bad
cf,0,15.0,15,5.0,8,bad
gov,1,3.0,3,4.333333333333333,6,good
org,1,7.0,9,6.714285714285714,11,good
com,0,13.0,13,0.0,0,bad
tk,0,12.0,12,2.5,5,bad
com,0,17.0,17,5.375,10,good
ru,0,11.0,11,4.333333333333333,5,bad
org,2,4.0,9,3.0,5,good
ru,0,12.0,12,3.5,4,bad
se,0,4.0,4,9.333333333333334,32,bad
de,2,5.25,8,8.0,8,bad
org,1,6.0,9,9.666666666666666,16,good
com,0,12.0,12,2.8,4,bad
de,0,8.5,10,2.3333333333333335,4,bad
com,1,4.5,7,4.285714285714286,9,good
net,0,8.0,8,4.0,5,bad
com,0,11.0,11,7.0,7,bad
com,1,9.0,15,6.833333333333333,12,good
com,1,6.5,9,0.0,0,good
com.au,0,11.0,11,3.3333333333333335,7,bad
org,1,5.0,8,15.5,27,good
com,0,8.0,8,3.75,5,good
eu,0,6.333333333333333,8,7.0,7,bad
ru,0,5.0,5,3.5,6,good
com,1,4.5,6,8.666666666666666,20,good
com.ar,0,8.0,8,7.0,12,bad
com,1,4.0,5,6.666666666666667,10,good
asia,0,13.0,13,2.5,3,bad
